TIPE|TOKO|TGL_SALES|KOLOM1|KOLOM2|KOLOM3|KOLOM4|TIPE_SHIFT
HEADER|TPTD|2022-12-09|21950000|BANK CIMB NIAGA|800077676200|2022-12-10|HARIAN
MINUS|TPTD|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TPTD 09/12/2022|7576|HARIAN
HEADER|F02A|2022-12-09|29600000|BANK BCA|4451871450|2022-12-10|HARIAN
MINUS|F02A|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  F02A 09/12/2022|14514|HARIAN
HEADER|F70F|2022-12-09|19750000|BANK BCA|4451268851|2022-12-10|HARIAN
MINUS|F70F|2022-12-09|Biaya Bank|2022-12-09|Biaya Bank F70F 09/12/2022|5575|HARIAN
HEADER|FAIH|2022-12-09|43550000|BANK BCA|4451997721|2022-12-10|HARIAN
MINUS|FAIH|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FAIH 09/12/2022|19065|HARIAN
HEADER|FDR6|2022-12-09|23350000|BANK BCA|4458155311|2022-12-10|HARIAN
MINUS|FDR6|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FDR6 09/12/2022|49550|HARIAN
HEADER|FF54|2022-12-09|61550000|BANK BCA|4451268711|2022-12-10|HARIAN
MINUS|FF54|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FF54 09/12/2022|185600|HARIAN
HEADER|FF55|2022-12-09|33000000|BANK BCA|4451268729|2022-12-10|HARIAN
MINUS|FF55|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FF55 09/12/2022|19957|HARIAN
HEADER|FF56|2022-12-09|39150000|BANK BCA|4451268737|2022-12-10|HARIAN
MINUS|FF56|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FF56 09/12/2022|90449|HARIAN
HEADER|FMVK|2022-12-09|33050000|BANK BCA|4451269890|2022-12-10|HARIAN
HEADER|FNRD|2022-12-09|20700000|BANK BCA|4451269903|2022-12-10|HARIAN
MINUS|FNRD|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FNRD 09/12/2022|22425|HARIAN
HEADER|FP07|2022-12-09|42800000|BANK BCA|4451871409|2022-12-10|HARIAN
HEADER|FP08|2022-12-09|55500000|BANK BCA|4451268834|2022-12-10|HARIAN
MINUS|FP08|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  FP08 09/12/2022|40800|HARIAN
HEADER|FQ60|2022-12-09|21500000|BANK BCA|4451269245|2022-12-10|HARIAN
MINUS|FQ60|2022-12-09|Biaya Bank|2022-12-09|Biaya Bank FQ60 09/12/2022|5800|HARIAN
HEADER|T32S|2022-12-09|44200000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T32S|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T32S 09/12/2022|16522500|HARIAN
HEADER|T93A|2022-12-09|56600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T93A|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T93A 09/12/2022|5548700|HARIAN
HEADER|TMIJ|2022-12-09|23850000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TMIJ|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TMIJ 09/12/2022|5373530|HARIAN
HEADER|TNAE|2022-12-09|55600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TNAE|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TNAE 09/12/2022|156999|HARIAN
HEADER|T48U|2022-12-09|47600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T48U|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T48U 09/12/2022|119675|HARIAN
HEADER|TP96|2022-12-09|31200000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TP96|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TP96 09/12/2022|51516|HARIAN
HEADER|THR5|2022-12-09|42700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|THR5|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  THR5 09/12/2022|51512|HARIAN
HEADER|TX81|2022-12-09|17850000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX81|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TX81 09/12/2022|47300|HARIAN
HEADER|T37X|2022-12-09|16150000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T37X|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T37X 09/12/2022|46800|HARIAN
HEADER|TFF0|2022-12-09|29600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TFF0|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TFF0 09/12/2022|45125|HARIAN
HEADER|T31X|2022-12-09|33300000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T31X|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T31X 09/12/2022|45025|HARIAN
HEADER|TGUC|2022-12-09|14100000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TGUC|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TGUC 09/12/2022|43900|HARIAN
HEADER|TX75|2022-12-09|27000000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX75|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TX75 09/12/2022|42299|HARIAN
HEADER|TJ7E|2022-12-09|28350000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TJ7E|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TJ7E 09/12/2022|39800|HARIAN
HEADER|T38U|2022-12-09|53600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T38U|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T38U 09/12/2022|38875|HARIAN
HEADER|T2SD|2022-12-09|25700000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T2SD|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T2SD 09/12/2022|36233|HARIAN
HEADER|T71X|2022-12-09|26300000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T71X|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T71X 09/12/2022|36111|HARIAN
HEADER|TEC3|2022-12-09|28300000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TEC3|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TEC3 09/12/2022|32050|HARIAN
HEADER|T62X|2022-12-09|35200000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T62X|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T62X 09/12/2022|31287|HARIAN
HEADER|TICL|2022-12-09|39350000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TICL|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TICL 09/12/2022|23554|HARIAN
HEADER|TEE3|2022-12-09|45800000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TEE3|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TEE3 09/12/2022|22850|HARIAN
HEADER|TU52|2022-12-09|29950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TU52|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TU52 09/12/2022|22700|HARIAN
HEADER|T70X|2022-12-09|30550000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T70X|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T70X 09/12/2022|22550|HARIAN
HEADER|TW1T|2022-12-09|28250000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TW1T|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TW1T 09/12/2022|19700|HARIAN
HEADER|T4EA|2022-12-09|29300000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T4EA|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T4EA 09/12/2022|16100|HARIAN
HEADER|TX01|2022-12-09|27600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX01|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TX01 09/12/2022|15274|HARIAN
HEADER|TU38|2022-12-09|19900000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TU38|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TU38 09/12/2022|15231|HARIAN
HEADER|TX22|2022-12-09|21050000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TX22|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  TX22 09/12/2022|13700|HARIAN
HEADER|T812|2022-12-09|31450000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T812|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T812 09/12/2022|12561|HARIAN
HEADER|T73X|2022-12-09|26900000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T73X|2022-12-09|Potongan Lain - lain |2022-12-09|Potongan Lain - lain  T73X 09/12/2022|8582|HARIAN
HEADER|T26I|2022-12-09|19250000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T26I|2022-12-09|Biaya Bank|2022-12-09|Biaya Bank T26I 09/12/2022|4825|HARIAN
HEADER|TE6T|2022-12-09|36900000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TE6T|2022-12-09|Biaya Bank|2022-12-09|Biaya Bank TE6T 09/12/2022|2200|HARIAN
HEADER|T01X|2022-12-09|18500000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T01X|2022-12-09|Biaya Bank|2022-12-09|Biaya Bank T01X 09/12/2022|1907|HARIAN
HEADER|TX35|2022-12-09|53350000|BANK BCA|4456377777|2022-12-12|HARIAN
HEADER|T3IU|2022-12-09|32950000|BANK BCA|4456377777|2022-12-12|HARIAN
HEADER|TPTD|2022-12-10|29300000|BANK CIMB NIAGA|800077676200|2022-12-11|HARIAN
MINUS|TPTD|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TPTD 10/12/2022|29900|HARIAN
HEADER|F02A|2022-12-10|29600000|BANK BCA|4451871450|2022-12-11|HARIAN
MINUS|F02A|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  F02A 10/12/2022|25000|HARIAN
HEADER|F70F|2022-12-10|24800000|BANK BCA|4451268851|2022-12-11|HARIAN
MINUS|F70F|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  F70F 10/12/2022|18000|HARIAN
HEADER|FAIH|2022-12-10|51950000|BANK BCA|4451997721|2022-12-11|HARIAN
MINUS|FAIH|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FAIH 10/12/2022|37500|HARIAN
HEADER|FDR6|2022-12-10|29950000|BANK BCA|4458155311|2022-12-11|HARIAN
MINUS|FDR6|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FDR6 10/12/2022|15000|HARIAN
HEADER|FF54|2022-12-10|45350000|BANK BCA|4451268711|2022-12-11|HARIAN
MINUS|FF54|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FF54 10/12/2022|13478|HARIAN
